date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2002-02-07,2.963864088058472,2.9721429347991943,2.922468900680542,2.930747985839844,1.787153720855713,119858180,2.8869358698527017,2.910619274775187,0,0,2.9024929969241358,2.93312959078632,3.5197555089435837,2.3465036726290562,-0.0047632098929515365,2.99785190115644,2.8881611943244936,2.778470487492547,0.2250805812690535,0,0,54.39547189587001,0,0,-0.014016500410798383,-0.016375980306205275,0.002359479895406892,1,0,76.34384992793831,54.96169090009575,2.8753975027929704,0.016557931900024414,0.5681829802980376
2002-02-08,2.889518976211548,2.922468900680542,2.8727951049804688,2.8727951049804688,1.751814603805542,41973916,2.8819684823354086,2.9092449426651,0,0,2.9013283737106588,2.932529247643973,3.5190350971727677,2.3460233981151783,-0.1194682853270086,2.9965976336702105,2.886836552619934,2.7770754715696575,0.22522498611812705,0,0,48.0228015758303,0,0,-0.013358202955830567,-0.015772424836130332,0.0024142218802997648,0,0,73.41946343040176,69.2698069733439,2.873920370837463,-0.04139494895935103,-1.4204615413942356
2002-02-11,2.8727951049804688,2.8727951049804688,2.8727951049804688,2.8727951049804688,1.751814603805542,0,2.8792088190714518,2.907870610555013,0,0,2.9002094219957493,2.9319348780652317,3.518321853678278,2.3455479024521853,-0.11827954616952585,2.996740185381466,2.8872918605804445,2.777843535779423,0.22458322383578008,0,0,48.02280157583029,0,0,-0.012690212608424734,-0.015155982390589212,0.0024657697821644786,0,0,62.485969512651145,70.7497609569971,2.8726230045127914,-0.04139494895935103,-1.4204615413942356
2002-02-12,2.8727951049804688,2.8727951049804688,2.8727951049804688,2.8727951049804688,1.751814603805542,0,2.8742966334025066,2.906496278444926,0,0,2.899134350740248,2.931346422611652,3.517615707133982,2.3450771380893216,-0.1171026352623663,2.996725089269607,2.888533663749695,2.780342238229783,0.2220041209294281,0,0,48.02280157583031,0,0,-0.012022240540133122,-0.014529234020497994,0.002506993480364872,0,0,40.04181956402315,58.64908416902537,2.8714883565656755,0.025002002716064453,0.8779430884984007
2002-02-13,2.818320035934448,2.963864088058472,2.782058000564575,2.8221280574798584,1.7209190130233765,124206557,2.863743702570597,2.8990121126174926,0,0,2.8961144961025855,2.930259672709843,3.5163116072518115,2.3442077381678743,-0.21626323045996898,2.997574983725304,2.885586369037628,2.773597754349952,0.22979578869913,0,0,42.5761487349069,0,0,-0.01540371076542213,-0.014704129369482821,-0.0006995813959393086,0,1,28.441087991427292,43.65629235603388,2.864174040613607,-0.009106874465942383,-0.3216573221524799
2002-02-14,2.8810739517211914,2.963864088058472,2.8314011096954346,2.963864088058472,1.8073489665985107,157024725,2.867055304845174,2.8973618507385255,0,0,2.898771342845954,2.930594045001869,3.5167128540022428,2.3444752360014953,0.06654008611320616,2.9969351157709636,2.8854207754135133,2.773906435056063,0.22882259830765708,0,0,57.20008939429994,0,0,-0.006570891998161965,-0.01307748189521865,0.006506589897056684,1,0,45.12174544219034,37.86821766588028,2.875296621280838,0.1576311588287358,5.617180141635747
2002-02-15,2.91419005393982,3.013537883758545,2.91419005393982,3.013537883758545,1.8376388549804688,103382663,2.8736784934997557,2.899017643928528,0,0,2.9032719915091927,2.9314193568302938,3.5177032281963525,2.345135485464235,0.16423705385650234,3.0108324388009167,2.888732373714447,2.7666323086279774,0.25054404713384815,1,0,60.95318382863945,0,0,0.0043868715590780205,-0.009584611204359314,0.013971482763437335,0,0,73.69336012462473,49.085397852747484,2.8916017364652924,0.2318108081817627,8.333341189976284
2002-02-18,2.9802560806274414,3.0052590370178223,2.9439940452575684,2.95558500289917,1.8022996187210083,64984078,2.8764381567637125,2.899840013186137,0,0,2.9053234821519367,2.931659811020034,3.5179917732240407,2.3453278488160274,0.047850383758271775,3.0159241679224458,2.8908021211624146,2.7656800744023835,0.2567450226887733,0,0,54.90417313878404,0,0,0.00829899927401323,-0.006007889108684805,0.014306888382698035,0,0,91.6547275354647,70.15661103409327,2.899141799687117,0.15729999542236373,5.621300010616137
2002-02-19,2.9721429347991943,3.0299301147460938,2.95558500289917,2.95558500289917,1.8022996187210083,86774278,2.883624283472697,2.8990121126174926,0,0,2.90729452218124,2.931897872630772,3.518277447156926,2.3455182981046176,0.047374260536796164,3.0172499499791856,2.891257476806641,2.765265003634096,0.25853110000141993,0,0,54.90417313878404,0,0,0.011269481110227186,-0.002552415064902406,0.013821896175129592,0,0,81.65694943492905,82.3350123650062,2.905975271052781,0.08444499969482422,2.9411662127440286
2002-02-20,2.963864088058472,3.0814249515533447,2.963864088058472,3.0565879344940186,1.8638912439346316,101184317,2.8986478169759113,2.9021029074986777,0,0,2.913149165801349,2.9331385697637393,3.519766283716487,2.3465108558109917,0.24689872946055846,3.0353970225367535,2.8950657725334166,2.7547345225300797,0.28795364924891104,1,0,62.43871303539103,0,0,0.02152556847539433,0.0022631816431569413,0.01926238683223739,0,0,78.34566294923978,83.8857799732112,2.924774168177953,0.15067696571350098,5.185188649352646
2002-02-21,3.146001100540161,3.146332025527954,3.063210964202881,3.0964930057525635,1.8882243633270264,239511020,2.9179984887440997,2.9081796725591023,1,0,2.9203391203092397,2.93476398703726,3.521716784444712,2.3478111896298084,0.32345803743060664,3.0697162773553432,2.904180920124054,2.738645562892765,0.3396713860480269,1,0,64.93166721575612,0,0,0.032498969463310434,0.00831033920718764,0.024188630256122792,0,0,79.53453604396553,79.84571614271148,2.9467572442430514,0.16574501991271928,5.655382882237925
