date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2013-05-03,34.0,34.4900016784668,33.56999969482422,33.79999923706055,19.947572708129883,3919900,33.298000208536784,33.97200005849202,0,0,34.915878522442604,37.51275469659146,45.01530563590975,30.010203757273167,-7.425510919061821,35.814475076129646,33.703000164031984,31.59152525193432,4.332655101582446,0,0,48.597978129489704,0,0,-0.3314103436324558,-0.5093680886871688,0.17795774505471296,0,0,44.18851700859323,50.8656936321785,33.02222412457044,1.8999996185302699,5.956111728059654
2013-05-06,33.90999984741211,34.310001373291016,33.630001068115234,33.83000183105469,19.96527862548828,4640200,33.24800020853679,33.945000139872235,0,0,34.873295122780334,37.476110389471685,44.97133246736602,29.98088831157735,-7.292217116833992,35.74239348409414,33.66650018692017,31.590606889746194,4.259643168295054,0,0,48.786714325320744,0,0,-0.29335398728681383,-0.46616526840709777,0.17281128112028393,0,0,40.559531197427525,43.36663047690288,33.05554713766011,1.7300033569335938,5.389418813612457
2013-05-07,34.0099983215332,34.849998474121094,33.869998931884766,34.849998474121094,20.567243576049805,3991500,33.40733350118001,33.949666786193845,0,0,34.872381528715266,37.449979922652275,44.93997590718273,29.959983938121823,-5.199962897062363,35.76579761028124,33.674000072479245,31.582202534677247,4.292277981475746,0,0,54.85553280319338,0,0,-0.17882743472254248,-0.4086977016701867,0.22987026694764423,0,0,67.15329483374063,50.63378101325407,33.21529955175996,2.4599990844726562,7.5949340254042985
2013-05-08,34.790000915527344,35.310001373291016,34.7400016784668,34.959999084472656,20.63216209411621,4542500,33.52466672261556,33.97333342234294,0,0,34.87581751129399,37.42520399391417,44.910244792697,29.940163195131333,-4.930409818883021,35.46322884297135,33.61250009536743,31.76177134776351,3.797615261264858,0,0,55.468406217560585,0,0,-0.07828575727550913,-0.3426153127912512,0.26432955551574205,0,0,78.61436779402459,62.10906460839786,33.37564361959514,1.55999755859375,4.670651159656503
2013-05-09,34.65999984741211,35.40999984741211,34.65999984741211,35.150001525878906,20.74429702758789,5351600,33.70400021870931,33.996666781107585,0,0,34.88656982559144,37.402565163386456,44.88307819606374,29.922052130709165,-4.505127275015095,35.49422609863072,33.620000171661374,31.745774244692033,3.8458304559924383,0,0,56.56526864575472,0,0,0.016535247529077424,-0.2707852007271855,0.2873204482562629,0,0,89.9626119182127,78.57675818199291,33.54628573809425,1.5699996948242188,4.675400861271806
2013-05-10,34.9900016784668,35.20000076293945,34.15999984741211,34.2400016784668,20.207246780395508,4094100,33.86000035603841,33.96700013478597,0,0,34.861214211978705,37.37109687000417,44.845316244005005,29.89687749600334,-6.262190383074753,35.50527243584374,33.62500028610229,31.744728136360838,3.8582370433444213,0,0,50.18909536625527,0,0,0.01804419226869669,-0.21301932212800906,0.23106351439670575,0,0,68.05251882239087,78.87649951154299,33.58866336881166,0.13000106811523438,0.3811230307506408
2013-05-13,33.959999084472656,34.15999984741211,33.439998626708984,33.439998626708984,19.73511505126953,3029000,33.94933369954427,33.91066672007243,1,0,34.80548026745832,37.33198146459825,44.7983777575179,29.865585171678603,-7.783965675778532,35.39744452696909,33.56800012588501,31.738555724800925,3.753940703729362,0,0,45.34941224401235,0,0,-0.04479712515266243,-0.17937488273293972,0.1345777575802773,0,0,40.04645944091693,66.0205300605071,33.52856407064416,-0.6700019836425781,-1.9642391429311457
2013-05-14,33.56999969482422,33.599998474121094,32.66999816894531,32.790000915527344,19.35150718688965,3532300,33.976000467936196,33.870333417256674,0,0,34.72644186150024,37.28678762828909,44.74414515394691,29.829430102631274,-8.993573425523497,35.37929856189903,33.58450021743774,31.78970187297646,3.6828484955701692,0,0,41.82079381126473,0,0,-0.14537293627331138,-0.17257449344101405,0.027201557167702672,0,0,12.883126771220569,40.32736834484306,33.394435561927814,-0.80999755859375,-2.4107071291018523
2013-05-15,32.619998931884766,32.75,31.90999984741211,32.099998474121094,18.94429397583008,19258500,33.88933359781901,33.83200003306071,0,0,34.62344408160302,37.23517778595906,44.68221334315087,29.78814222876725,-10.270358623675932,35.432230290387174,33.52950010299683,31.626769915606484,3.9043199642611586,0,0,38.40461976607645,0,0,-0.27755790685012727,-0.1935711761228367,-0.08398673072729057,0,1,3.269397264270823,18.732994492136374,33.18837925871782,-2.19000244140625,-6.386708611648251
2013-05-16,31.96999931335449,32.11000061035156,31.239999771118164,31.350000381469727,18.501670837402344,4932100,33.74066683451335,33.69866676330567,0,0,34.49507374042132,37.17661880680991,44.61194256817189,29.74129504544793,-11.653236850680369,35.55470642205498,33.47400016784668,31.393293913638388,4.269519147748968,0,1,35.05291278510557,0,0,-0.4377874848428931,-0.24241443786684796,-0.19537304697604513,0,0,4.195328095927601,6.782617377139933,32.90987078290497,-2.1400012969970703,-6.389970706908132
2013-05-17,31.959999084472656,32.06999969482422,31.540000915527344,31.770000457763672,18.749534606933597,2720600,33.58466682434082,33.61800015767415,0,1,34.38820812149357,37.12282160930697,44.54738593116836,29.698257287445575,-10.705642303086588,35.56854684780274,33.46750020980835,31.366453571813953,4.311256734623548,0,0,38.300338671114694,0,0,-0.5248301682400722,-0.2988975839414928,-0.22593258429857943,0,0,8.78567755305874,5.416800971085991,32.71209232233361,-2.029998779296875,-6.005913683782127
2013-05-20,31.959999084472656,32.959999084472656,31.350000381469727,32.88999938964844,19.4105224609375,4294000,33.50333340962728,33.56233342488607,0,0,34.3294548378918,37.080703975280514,44.496844770336615,29.664563180224413,-8.381409171264153,35.53205462537309,33.507000255584714,31.48194588579634,4.155323890413066,0,0,46.04752286673674,0,0,-0.49770038809332107,-0.33865814477185846,-0.1590422433214626,0,0,30.281258988165927,14.420754879051024,32.674943330686766,-0.94000244140625,-2.7786059430341625
2013-05-21,33.02000045776367,33.2599983215332,32.619998931884766,33.150001525878906,19.563962936401367,2478700,33.4733336130778,33.51066678365071,0,0,34.28320176683247,37.04159250812229,44.44991100974675,29.633274006497835,-7.783181964486772,35.512491302611835,33.54500036239624,31.577509422180643,4.0372062251864325,0,0,47.68959846139229,0,0,-0.45003215189051815,-0.3609329461955904,-0.08909920569492774,0,0,60.8735315461156,33.31348936244702,32.675794713213826,-1.6999969482421875,-4.878040237231495
